customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Prob,Churn_Predicted
7590-VHVEG,Female,No,Yes,No,1,No,No/No phone service,DSL,No/No internet service,Yes,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,Yes,Electronic check,29.85,29.85,No,0.6267952281964074,Yes
5575-GNVDE,Male,No,No,No,34,Yes,No/No phone service,DSL,Yes,No/No internet service,Yes,No/No internet service,No/No internet service,No/No internet service,One year,No,Mailed check,56.95,1889.5,No,0.1882176221655448,No
3668-QPYBK,Male,No,No,No,2,Yes,No/No phone service,DSL,Yes,Yes,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,0.542915199304739,Yes
7795-CFOCW,Male,No,No,No,45,No,No/No phone service,DSL,Yes,No/No internet service,Yes,Yes,No/No internet service,No/No internet service,One year,No,Bank transfer (automatic),42.3,1840.75,No,0.0417156292712445,No
9237-HQITU,Female,No,No,No,2,Yes,No/No phone service,Fiber optic,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,0.8488212189311317,Yes
9305-CDSKC,Female,No,No,No,8,Yes,Yes,Fiber optic,No/No internet service,No/No internet service,Yes,No/No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,0.9139983617985132,Yes
1452-KIOVK,Male,No,No,Yes,22,Yes,Yes,Fiber optic,No/No internet service,Yes,No/No internet service,No/No internet service,Yes,No/No internet service,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0.6925751480803114,Yes
6713-OKOMC,Female,No,No,No,10,No,No/No phone service,DSL,Yes,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,No,Mailed check,29.75,301.9,No,0.3630022537958268,No
7892-POOKP,Female,No,Yes,No,28,Yes,Yes,Fiber optic,No/No internet service,No/No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,0.82073085363153,Yes
6388-TABGU,Male,No,No,Yes,62,Yes,No/No phone service,DSL,Yes,Yes,No/No internet service,No/No internet service,No/No internet service,No/No internet service,One year,No,Bank transfer (automatic),56.15,3487.95,No,0.054122056699943,No
